ORDEREXTERNALID,TASK_INSTANCE_ID,TASK_NAME,Tasks,STATUS,CREATED_DTTM,PRODUCTSPEC,SWIFT STATUS,Task Status changed to,Read Swift status
552794012,AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1-10,Activate Path in ACT,Activate Path in ACT,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552853631,AP-EXT-552853631-4430502-MON-1-0-1001-xVC-342605846-1-1-CREATE-XVC-SL-1-CREATE-Epl-TL-1,Create EPL Service TL,Create EPL Service TL,Failed,16-Sep-22,E-Access,Closed,Completed,Closed
552826389,AP-EXT-552826389-4405861-MON-1-1-1001-xVC-342171707-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1-1-13,Create EvcEndpoint in ASRI,Create EvcEndpoint in ASRI,In-Progress,3-Sep-22,E-Line,Closed,Completed,Closed
552730567,AP-EXT-552730567-4288886-MON-1-1-1001-xVC-343283615-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1,Create EVPL Service TL,Create EVPL Service TL,In-Progress,2-Sep-22,E-Access,Closed,Completed,Closed
552826389,AP-EXT-552826389-4405861-MON-1-1-1001-xVC-342171707-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1,Create EVPL Service TL,Create EVPL Service TL,In-Progress,3-Sep-22,E-Line,Closed,Completed,Closed
552839475,AP-EXT-552839475-4414778-MON-1-0-1001-xVC-343728276-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1,Create EVPL Service TL,Create EVPL Service TL,In-Progress,2-Sep-22,E-Access,Closed,Completed,Closed
552854931,AP-EXT-552854931-4430088-MON-1-0-1001-xVC-343795691-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-2-1,Create EVPL Service TL,Create EVPL Service TL,Failed,4-Oct-22,E-Access,Closed,Completed,Closed
552872765,AP-EXT-552872765-4471304-MON-1-0-1001-xVC-343798098-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1,Create EVPL Service TL,Create EVPL Service TL,Failed,6-Oct-22,E-Access,Closed,Completed,Closed
552596169,AP-EXT-552596169-4151905-MON-1-0-1001-xVC-342321248-1-1-CREATE-XVC-SL-1-CREATE-OLINE-2-1,Create Oline Path ASRI,Create Oline Path ASRI,Failed,7-Sep-22,E-Line,Closed,Completed,Closed
552755011,AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-OLINE-1,Create Oline Path ASRI,Create Oline Path ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552791874,AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-OLINE-1,Create Oline Path ASRI,Create Oline Path ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552794012,AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1,Create Oline Path ASRI,Create Oline Path ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552798070,AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1,Create Oline Path ASRI,Create Oline Path ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552838423,AP-EXT-552838423-4419958-MON-1-0-DIA-343708635-1-CREATE-OLINE-1,Create Oline Path ASRI,Create Oline Path ASRI,In-Progress,6-Sep-22,INTERNET,Closed,Completed,Closed
552755011,AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-OLINE-1-7,Create Oline ServiceAlias in ASRI,Create Oline ServiceAlias in ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552791874,AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-OLINE-1-7,Create Oline ServiceAlias in ASRI,Create Oline ServiceAlias in ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552794012,AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1-7,Create Oline ServiceAlias in ASRI,Create Oline ServiceAlias in ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552798070,AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1-7,Create Oline ServiceAlias in ASRI,Create Oline ServiceAlias in ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552675949,AP-EXT-552675949-4264624-MON-1-0-1001-xVC-342817356-1-1-CREATE-XVC-SL-1-GATHER-EPL-PET-SL-1-1-CREATE-PET-1,Create PET ASRI,Create PET ASRI,Failed,19-Oct-22,E-Line,Closed,Completed,Closed
552675949,AP-EXT-552675949-4264624-MON-1-0-1001-xVC-342817356-1-1-CREATE-XVC-SL-1-GATHER-EPL-PET-SL-1-1-CREATE-PET-1-1,Create PET ASRI,Create PET ASRI,Failed,19-Oct-22,E-Line,Closed,Completed,Closed
552808644,AP-EXT-552808644-4390320-MON-1-0-1001-xVC-343600527-1-1-CREATE-XVC-SL-1-GATHER-EPL-PET-SL-1-1-CREATE-PET-1,Create PET ASRI,Create PET ASRI,In-Progress,19-Sep-22,E-Line,Closed,Completed,Closed
552808644,AP-EXT-552808644-4390320-MON-1-0-1001-xVC-343600527-1-1-CREATE-XVC-SL-1-GATHER-EPL-PET-SL-1-1-CREATE-PET-1-1,Create PET ASRI,Create PET ASRI,In-Progress,19-Sep-22,E-Line,Closed,Completed,Closed
552755011,AP-EXT-552755011-4393739-MON-1-0-1001-UNI-343308603-1-CREATE-UNI-1,Create UNI ASRI,Create UNI ASRI,In-Progress,2-Sep-22,INTERNET,Closed,Completed,Closed
