"ORDER_ID","TASK_INSTANCE_ID","TASK_STATUS_IN_FD","TASK_STATUS_IN_SWIFT"
"553150410","AP-EXT-553150410-4783505-MON-1-0-1001-UNI-345030570-1-CREATE-UNI-1-2","Cancelled","Ordered"
"552921811","AP-EXT-552921811-4499608-MON-2-0-1-DELETE-XVC-TL-1-8","Completed","Cancelled"
"552993192","AP-EXT-552993192-4591224-MON-2-0-1-DELETE-XVC-TL-1-8","Completed","Cancelled"
"552914824","AP-EXT-552914824-4495254-MON-2-0-1-DELETE-XVC-TL-1-8","Completed","Cancelled"
"552880665","AP-EXT-552880665-4460227-MON-2-0-1-DELETE-XVC-TL-1-8","Completed","Cancelled"
"552703337","AP-EXT-552703337-4260605-MON-1-0-1-DELETE-XVC-TL-1-7","Completed","Ordered"
"552671268","AP-EXT-552671268-4221027-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552668369","AP-EXT-552668369-4218878-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552666778","AP-EXT-552666778-4218625-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552697786","AP-EXT-552697786-4249994-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552622909","AP-EXT-552622909-4158497-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552595859","AP-EXT-552595859-4115773-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552605502","AP-EXT-552605502-4132943-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552531230","AP-EXT-552531230-4018202-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552527209","AP-EXT-552527209-4012536-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552069569","AP-EXT-552069569-4082613-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552476313","AP-EXT-552476313-3959533-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552290657","AP-EXT-552290657-3718329-MON-1-0-1-DELETE-UNI-1-3","Completed","Closed"
"552290657","AP-EXT-552290657-3718329-MON-1-0-1-DELETE-UNI-1-3","Completed","Closed"
"552321292","AP-EXT-552321292-3782031-MON-1-0-1001-xVC-341541100-1-1-CREATE-XVC-SL-1-CREATE-OLINE-2-1-820f8d11-ec7d-4b07-bcd4-95a671169fde","Complete","Closed"
"552349865","AP-EXT-552349865-3804779-MON-1-0-1-DELETE-XVC-TL-1-8","Completed","Ordered"
"552708623","AP-EXT-552708623-4544114-MON-2-0-DIA-343091455-C-1-CREATE-OLINE-1-10","Completed","Closed"
"553300220","AP-EXT-553300220-5001518-MON-1-0-DIA-344798498-C-1-CREATE-HEADLESS-DIA-1-8","Completed","Ordered"
"552555758","AP-EXT-552555758-4644971-MON-2-0-DIA-341986217-C-1-CREATE-HEADLESS-DIA-1-8","Completed","Closed"
"552555758","AP-EXT-552555758-4644971-MON-2-0-DIA-341986217-C-1-CREATE-HEADLESS-DIA-1-8","Completed","Closed"
"552555758","AP-EXT-552555758-4644971-MON-2-0-DIA-341986217-C-1-CREATE-HEADLESS-DIA-1-8","Completed","Closed"
"552555758","AP-EXT-552555758-4644971-MON-2-0-DIA-341986217-C-1-CREATE-HEADLESS-DIA-1-8","Completed","Closed"
"552555758","AP-EXT-552555758-4644971-MON-2-0-DIA-341986217-C-1-CREATE-HEADLESS-DIA-1-8","Completed","Closed"
"552555758","AP-EXT-552555758-4644971-MON-2-0-DIA-341986217-C-1-CREATE-HEADLESS-DIA-1-8","Completed","Closed"
