"ORDEREXTERNALID","TASK_INSTANCE_ID","swiftStatusInSheet","swiftStatusCurrent"
"552791874","AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-OLINE-1","Closed","Closed"
"552791874","AP-EXT-552791874-4387574-MON-1-0-1001-UNI-343236017-1-CREATE-UNI-1","Closed","Closed"
"552853631","AP-EXT-552853631-4430502-MON-1-0-1001-xVC-342605846-1-1-CREATE-XVC-SL-1-CREATE-Epl-TL-1","Closed","Closed"
"552596169","AP-EXT-552596169-4151905-MON-1-0-1001-xVC-342321248-1-1-CREATE-XVC-SL-1-CREATE-OLINE-2-1","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1-10","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-1001-UNI-343530165-1","Closed","Closed"
"552798070","AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1","Closed","Closed"
"552854931","AP-EXT-552854931-4430088-MON-1-0-1001-xVC-343795691-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-2-1","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-1001-UNI-343530165-1-CREATE-UNI-1","Closed","Closed"
"552798070","AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1-7","Closed","Closed"
"552808644","AP-EXT-552808644-4390320-MON-1-0-1001-xVC-343600527-1-1-CREATE-XVC-SL-1-GATHER-EPL-PET-SL-1-1-CREATE-PET-1-1","Closed","Closed"
"552888618","AP-EXT-552888618-4463661-MON-1-0-1","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1","Closed","Closed"
"552845479","AP-EXT-552845479-4419249-MON-1-0-1","Closed","Closed"
"552920944","AP-EXT-552920944-4495383-MON-1-0-1","Closed","Closed"
"552755011","AP-EXT-552755011-4393739-MON-1-0-1001-UNI-343308603-1","Closed","Closed"
"552755011","AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-OLINE-1-7","Closed","Closed"
"552824131","AP-EXT-552824131-4393660-MON-1-0-1001-xVC-343671149-1-1","Closed","Closed"
"552920944","AP-EXT-552920944-4495383-MON-1-0-1-DELETE-UNI-1-4","Closed","Closed"
"552845479","AP-EXT-552845479-4419249-MON-1-0-1-DELETE-XVC-TL-1","Closed","Closed"
"552826389","AP-EXT-552826389-4405861-MON-1-1-1001-xVC-342171707-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1-1-13","Closed","Closed"
"552663899","AP-EXT-552663899-4243897-MON-2-0-1001-xVC-342938472-1-1","Closed","Closed"
"552845479","AP-EXT-552845479-4419249-MON-1-0-0","Closed","Closed"
"552811381","AP-EXT-552811381-4398703-MON-1-0-1001-UNI-343235984-1","Closed","Closed"
"552907775","AP-EXT-552907775-4481130-MON-1-0-0","Closed","Closed"
"552708185","AP-EXT-552708185-4289184-MON-3-0-1-DELETE-UNI-1","Closed","Closed"
"552907775","AP-EXT-552907775-4481130-MON-1-0-1-DELETE-XVC-TL-1-8","Closed","Closed"
"552708185","AP-EXT-552708185-4289184-MON-3-0-1","Closed","Closed"
"552888618","AP-EXT-552888618-4463661-MON-1-0-1-DELETE-XVC-TL-1","Closed","Closed"
"552697824","AP-EXT-552697824-4274966-MON-2-2-1001-xVC-342657423-1-1","Closed","Closed"
"552920944","AP-EXT-552920944-4495383-MON-1-0-1-DELETE-UNI-1-5","Closed","Closed"
"552755011","AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-FIND-OLINE-1-2","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-DIA-1-6","Closed","Closed"
"552576084","AP-EXT-552576084-4085214-MON-1-0-1-DELETE-UNI-1","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1-6","Closed","Closed"
"552755011","AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-FIND-OLINE-1","Closed","Closed"
"552791874","AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-DIA-1-2","Closed","Closed"
"552675949","AP-EXT-552675949-4264624-MON-1-0-1001-xVC-342817356-1-1","Closed","Closed"
"552920944","AP-EXT-552920944-4495383-MON-1-0-1-DELETE-UNI-1","Closed","Closed"
"552798070","AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1-8","Closed","Closed"
"552791874","AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-FIND-OLINE-1","Closed","Closed"
"552798070","AP-EXT-552798070-4385590-MON-2-0-1001-UNI-343339229-1-CREATE-UNI-1-6e58c927-2ea8-4780-a1ff-ee99592ae649","Closed","Closed"
"552791874","AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-FIND-OLINE-1-2","Closed","Closed"
"552839475","AP-EXT-552839475-4414778-MON-1-0-1001-xVC-343728276-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1-e5325356-bdf9-4b7c-a4e8-cf5a9ff93f30","Closed","Closed"
"552798070","AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1-2","Closed","Closed"
"552791874","AP-EXT-552791874-4387574-MON-1-0-1001-UNI-343236017-1-CREATE-UNI-1-bb92adcc-19d9-4ae0-87ea-8c4cea75b3eb","Closed","Closed"
"552755011","AP-EXT-552755011-4393739-MON-1-0-1001-UNI-343308603-1-CREATE-UNI-1-844b9f93-35f6-4f91-a2be-81cc95b360b0","Closed","Closed"
"552798070","AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1-6","Closed","Closed"
"552842139","AP-EXT-552842139-4415091-MON-1-0-1-DELETE-UNI-1-4","Cancelled","Cancelled"
"552913227","AP-EXT-552913227-4491709-MON-1-0-1","Closed","Closed"
"552798070","AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1-11","Closed","Closed"
"552798070","AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-HEADLESS-DIA-1-2","Closed","Closed"
"552596169","AP-EXT-552596169-4151905-MON-1-0-1001-xVC-342321248-1-1-CREATE-XVC-SL-1-CREATE-OLINE-2-1-11","Closed","Closed"
"552910524","AP-EXT-552910524-4483709-MON-1-0-0-1001","Closed","Closed"
"552810995","AP-EXT-552810995-4379910-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-DIA-1-2","Closed","Closed"
"552845167","AP-EXT-552845167-4420588-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552797237","AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-CREATE-Elynk-TL-1-GATHER-ELYNK-2-1-3","Closed","Closed"
"552842139","AP-EXT-552842139-4415091-MON-1-0-1-DELETE-UNI-1-5","Cancelled","Cancelled"
"552787212","AP-EXT-552787212-4353779-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552903230","AP-EXT-552903230-4477458-MON-1-0-1-DELETE-OLINE-2-1","Cancelled","Cancelled"
"552886549","AP-EXT-552886549-4464328-MON-2-0-1","Cancelled","Cancelled"
"552849494","AP-EXT-552849494-4425445-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552841791","AP-EXT-552841791-4416237-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552854589","AP-EXT-552854589-4432358-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552797237","AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-CREATE-Elynk-TL-1-GATHER-ELYNK-1-1-3","Closed","Closed"
